"Id_Evidence","Cd_Evidence","Description","Long_Label"
"1","Element-Name",NULL,NULL
"2","src",NULL,NULL
"3","Css-Selector",NULL,NULL
"4","Previous-H-Tag-Index",NULL,NULL
"5","First-H-Tag-Index",NULL,NULL
"6","Node",NULL,NULL
"7","href",NULL,NULL
"8","Link-Title-Attribut",NULL,NULL
"9","Link-Text",NULL,NULL
"10","Link-Href-Attribut",NULL,NULL
"11","Language",NULL,NULL
"12","Detected-Language",NULL,NULL
"13","Extracted-Text",NULL,NULL
"14","Css-Filename",NULL,NULL
"15","Snippet",NULL,NULL
"16","title",NULL,NULL
"17","text",NULL,NULL
"18","label",NULL,NULL
"19","precomputed-test-result",NULL,NULL
"20","code",NULL,NULL
"21","Foreground-Color",NULL,NULL
"22","Background-Color",NULL,NULL
"23","alt",NULL,NULL
"24","data",NULL,NULL
"25","longdesc",NULL,NULL
"26","summary",NULL,NULL
"27","Previous-H-Tag-Index2",NULL,NULL
"28","First-H-Tag-Index2",NULL,NULL
"29","Contrast",NULL,NULL
"30","lang",NULL,NULL
"31","xml-lang",NULL,NULL
"32","content",NULL,NULL
"33","value",NULL,NULL
"34","Default-Language",NULL,NULL
"35","Current-Language",NULL,NULL
"36","aria-label",NULL,NULL
"37","aria-labelledby",NULL,NULL
"38","aria-describedby",NULL,NULL
"39","aria-hidden",NULL,NULL
"40","role",NULL,NULL
"41","type",NULL,NULL
"42","id",NULL,NULL
"43","tabindex",NULL,NULL
"44","for",NULL,NULL
"1000","Url",NULL,NULL
"1002","H1",NULL,NULL
"1003","MetaDescription",NULL,NULL
"1004","type",NULL,NULL
